Show,Gross,Avg. Tix,Seats Sold,Total Perf.
"HAMILTON
(RICHARD RODGERS)","$128,950,063 ",$233 ,"550,747",416
"WICKED
(GERSHWIN)","$126,549,673 ",$157 ,"805,068",418
"THE LION KING
(MINSKOFF)","$106,781,983 ",$155 ,"686,358",418
"HARRY POTTER AND THE CURSED CHILD
(LYRIC)","$69,332,610 ",$116 ,"581,491",415
"ALADDIN
(NEW AMSTERDAM)","$68,387,147 ",$100 ,"682,435",418
"MJ
(NEIL SIMON)","$67,933,749 ",$131 ,"515,713",416
"DEATH BECOMES HER
(LUNT-FONTANNE)","$66,750,093 ",$113 ,"588,352",413
"THE OUTSIDERS
(JACOBS)","$64,345,030 ",$153 ,"419,836",414
"MAYBE HAPPY ENDING
(BELASCO)","$58,544,259 ",$146 ,"400,681",416
"OH, MARY!
(LYCEUM)","$57,916,862 ",$158 ,"366,303",416
"THE GREAT GATSBY
(BROADWAY)","$57,002,764 ",$103 ,"549,102",416
"MOULIN ROUGE! THE MUSICAL
(AL HIRSCHFELD)","$53,973,369 ",$105 ,"510,895",416
"HELL'S KITCHEN
(SHUBERT)","$50,368,073 ",$96 ,"522,229",416
"JUST IN TIME
(CIRCLE IN THE SQUARE)","$49,394,418 ",$226 ,"218,353",309
"BUENA VISTA SOCIAL CLUB
(SCHOENFELD)","$48,409,941 ",$134 ,"360,071",354
"GOOD NIGHT, AND GOOD LUCK
(WINTER GARDEN)","$48,276,657 ",$311 ,"154,837",99
"THE BOOK OF MORMON
(EUGENE O'NEILL)","$47,252,474 ",$113 ,"415,896",415
"OTHELLO
(ETHEL BARRYMORE)","$46,707,510 ",$377 ,"123,996",119
"& JULIET
(STEPHEN SONDHEIM)","$46,680,814 ",$116 ,"401,507",415
"HADESTOWN
(WALTER KERR)","$41,879,853 ",$112 ,"372,641",416
"GYPSY
(MAJESTIC)","$40,767,676 ",$121 ,"331,394",263
"STRANGER THINGS: THE FIRST SHADOW
(MARQUIS)","$40,331,344 ",$101 ,"394,390",307
"SUNSET BLVD.
(ST. JAMES)","$38,358,154 ",$114 ,"330,110",231
"SIX: THE MUSICAL
(LENA HORNE)","$37,631,709 ",$106 ,"351,733",415
"MAMMA MIA!
(WINTER GARDEN)","$36,194,449 ",$146 ,"250,172",167
"GLENGARRY GLEN ROSS
(PALACE)","$35,845,723 ",$219 ,"163,649",127
"CABARET AT THE KIT KAT CLUB
(AUGUST WILSON)","$34,176,044 ",$117 ,"286,683",304
"CHICAGO
(AMBASSADOR)","$33,556,396 ",$102 ,"328,274",416
"OPERATION MINCEMEAT: A NEW MUSICAL
(GOLDEN)","$32,026,285 ",$120 ,"266,809",358
"ART
(MUSIC BOX)","$24,255,123 ",$186 ,"128,822",131
"WAITING FOR GODOT
(HUDSON)","$23,836,509 ",$214 ,"116,496",120
"THE PICTURE OF DORIAN GRAY
(MUSIC BOX)","$21,154,440 ",$189 ,"111,266",111
"CHESS
(IMPERIAL)","$20,071,937 ",$175 ,"115,538",83
"RAGTIME
(VIVIAN BEAUMONT)","$17,134,784 ",$153 ,"111,618",106
"JOHN PROCTOR IS THE VILLAIN
(BOOTH)","$17,121,925 ",$111 ,"151,994",194
"PURPOSE
(HAYES)","$15,153,366 ",$125 ,"120,064",214
"REDWOOD
(NEDERLANDER)","$12,860,456 ",$106 ,"124,386",127
"SMASH
(IMPERIAL)","$12,596,568 ",$94 ,"133,340",115
"ALL IN: COMEDY ABOUT LOVE
(HUDSON)","$10,901,030 ",$201 ,"54,208",56
"BEETLEJUICE
(PALACE)","$10,535,188 ",$93 ,"113,004",95
"THE QUEEN OF VERSAILLES
(ST. JAMES)","$9,258,581 ",$100 ,"93,304",81
"THE LAST FIVE YEARS
(HUDSON)","$8,941,190 ",$98 ,"91,514",109
"BOOP! THE MUSICAL
(BROADHURST)","$8,819,764 ",$74 ,"118,301",125
"PIRATES! THE PENZANCE MUSICAL
(TODD HAIMES)","$8,058,516 ",$90 ,"89,484",130
"ROMEO + JULIET
(CIRCLE IN THE SQUARE)","$7,833,254 ",$171 ,"45,736",56
"STEPHEN SONDHEIM'S OLD FRIENDS
(FRIEDMAN)","$7,672,683 ",$120 ,"64,318",109
"OEDIPUS
(STUDIO 54)","$6,999,961 ",$112 ,"62,852",66
"FLOYD COLLINS
(VIVIAN BEAUMONT)","$6,691,183 ",$83 ,"81,700",98
"DEAD OUTLAW
(LONGACRE)","$5,593,341 ",$75 ,"76,881",87
"REAL WOMEN HAVE CURVES: THE MUSICAL
(JAMES EARL JONES)","$5,361,652 ",$66 ,"81,223",104
"CALL ME IZZY
(STUDIO 54)","$5,190,977 ",$99 ,"50,550",98
"TWO STRANGERS (CARRY A CAKE ACROSS NEW YORK)
(LONGACRE)","$5,183,696 ",$95 ,"54,844",65
"LITTLE BEAR RIDGE ROAD
(BOOTH)","$4,805,924 ",$89 ,"54,159",89
"A WONDERFUL WORLD: THE LOUIS ARMSTRONG MUSICAL
(STUDIO 54)","$4,191,235 ",$92 ,"45,620",64
"LIBERATION
(JAMES EARL JONES)","$3,898,372 ",$68 ,"58,284",95
"ENGLISH
(TODD HAIMES)","$3,268,784 ",$72 ,"44,594",66
"OUR TOWN
(ETHEL BARRYMORE)","$2,957,232 ",$125 ,"23,546",24
"EUREKA DAY
(FRIEDMAN)","$2,493,295 ",$83 ,"29,977",55
"PUNCH
(FRIEDMAN)","$2,328,721 ",$71 ,"33,170",63
"ALL OUT: COMEDY ABOUT AMBITION
(NEDERLANDER)","$2,190,595 ",$129 ,"19,162",17
"CULT OF LOVE
(HAYES)","$2,176,702 ",$106 ,"20,468",39
"LEFT ON TENTH
(JAMES EARL JONES)","$2,062,703 ",$89 ,"22,922",40
"STEREOPHONIC
(GOLDEN)","$1,982,958 ",$159 ,"12,448",16
"BACK TO THE FUTURE: THE MUSICAL
(WINTER GARDEN)","$1,875,633 ",$156 ,"12,061",8
"MARJORIE PRIME
(HAYES)","$1,616,253 ",$78 ,"21,181",40
"JEFF ROSS: TAKE A BANANA FOR THE RIDE
(NEDERLANDER)","$1,415,788 ",$45 ,"32,141",63
"SUFFS
(MUSIC BOX)","$1,349,647 ",$170 ,"7,923",8
"ELF
(MARQUIS)","$1,214,945 ",$133 ,"9,163",7
"BOOP! THE BETTY BOOP MUSICAL
(BROADHURST)","$933,732 ",$72 ,"13,059",12
"ROB LAKE MAGIC WITH SPECIAL GUESTS THE MUPPETS
(BROADHURST)","$781,726 ",$39 ,"20,205",24
"BUG
(FRIEDMAN)","$693,988 ",$87 ,"7,944",14
